"id","sha1","rank","title","firstname","lastname","nation","wikidata","source"
1,"9cccc847b29090d252ba07a00934a0946c6a9d07",,,"","",52,,1
2,"e85865e44a02aaad785319baed946c407c954bad",7,28," T."," Sebastiani",48,,1
3,"2fb31fe592dc245a49ee7ea5c565222c9d1556ab",12,,"","A. CLEEVES",47,,1
4,"c2f99d25aa42e30053cae57ebe06366c6c183207",9,,"F.N.","ABERSON",52,,1
5,"395416a836858a843c0a3446876965596de7897a",6,,"Frederick","ADAM",47,,1
6,"0f23217a7a5e0bf71fdbceeac04dc9629dc14d1e",5,,"S.G.","ADYE",47,,1
7,"8f7008edc7a2838730ef29b5c25af7bf01f8acb6",9,,"T.","AIRD",49,,1
8,"1235ca9251bb5940e83a4dfae653febbefe15dc3",9,,"C.H.","ANTHING",47,,1
9,"80b8ea572aeb09f4601ec3ccb0cdbeba574fac4c",12,,"","ARENTSCHILDT",47,,1
10,"323d54b73d378bd363970536216c746732d2923c",9,,"D.P.","ARNOULD",52,,1
11,"d545727db3ed714bb028c66312c0335cb28af5e7",9,,"H.","AUSTIN",47,,1
12,"1ef18df7f915cb54d446200fd7e85a0b1ef75dfc",12,,"","Albert",48,,1
13,"1412054a1d8595d3e9cd88febb559a698cf4b803",,,"","Allouis",48,,1
14,"fe72a19ba67dae5b294a5908dbfa472c7f20d989",8,19,"","Ameil",48,,1
15,"9c926b1ca972d20f26beb495e6861f22b26d8d66",12,,"","Arista",48,,1
16,"e7f70a894af35bf35e50b033696260bcec8c8e43",7,,"","Aubrée",48,,1
17,"fec5470616c16088215f58f70bda8ee34038a2e1",8,19,"","Aulard",48,,1
18,"8415eddd2aefc2da0ede62289e6f50840ee595b1",7,,"D.O.","BAGELAER",52,,1
19,"f14e68c08a01e9e59401a36bcfe876394bb60223",10,,"Wm","BAILLYE",47,,1
20,"6e099bbce7a464f25d33028d4a96b149e122bd61",13,,"","BALDAUF",51,,1
21,"42d6741da51a074385efda9d0836b1a4bcd08b7d",9,18,"A.F.","BARNARD",47,,1
22,"3f192095d1f3ee2408962e323f96de5e235b508b",10,19,"G.","BARRING",47,,1
23,"fb84c7f67ef6d3425fb06f0b90547cc77902c7ac",12,,"G.","BEANE",47,,1
24,"80881532761b0d7c5c93ccd974ed89bb2cf39bda",9,,"","BEAULIEU",49,,1
25,"40d582a03467f80993c8cebfa05f33e2a1f77c6a",9,,"","BEIER",51,,1
26,"fb0e655413b5588e56a8e7772663081dddeb5721",9,18,"C.P.","BELSON",47,,1
27,"97f60cf117b6ece63b6773510b64e889b67c9c9a",9,,"","BENNORT",49,,1
28,"604ae2e1099a91ba6634de5bcf93fc12b7b55e7b",12,,"E.","BERGMANN",52,,1
29,"e3ba634725198138ad701bd30fe01ab2d34d7c32",7,,"C.","BEST",49,,1
30,"8e26ae9b2283e5a58c68dd56228f89a90c4530a6",9,,"B.","BISSCHOFF",47,,1
31,"bfb9323d8cb106989faccdb5bcfa37d9245ec0de",12,,"","BLESKY",51,,1
32,"2d731ec590fd77cf3ac7b71dee961d0026748bd3",2,21,"","BLÜCHER von WAHLSTATT",51,,1
33,"0819276554ff6d3ca6ac1bd1772b6529ea9747d4",9,,"","BODECKER",49,,1
34,"d3ce3911651c9a8b988df907800ae1d119a82ff4",10,,"H.G.","BOELLAERT",52,,1
35,"c8f78ffac922aa2b278d48c3552d5532bcbf2949",12,,"S.G.","BOLTON",47,,1
36,"31726aa0a10db22d0007987ffb043c26b85f0f18",12,,"","BORCHARD",51,,1
37,"5551288e72bf816876b671e61f874659cca34c69",9,29,"W.F.","BOREEL",52,,1
38,"2cb6c27a37860f74709421bbe16059accf316e37",10,,"","BORNSTAEDT",51,,1
39,"fe4f102c17ad48cbee5a12bdae8e3e4676cc1eee",9,,"","BOYCE",47,,1
40,"1725c3c27b72655dde8ee3c759a974e1f13bfede",9,,"G.F.","BRADE",52,,1
41,"8084e99deeba52c83df3b6c490e83b876eebdd52",10,,"","BRANDENSTEIN",50,,1
42,"8a1d951b52da90b0c7594914950876aca3512920",12,,"","BRAUN",49,,1
43,"c990fda5a959744ec9540837bf454dfe301c77dd",12,,"J.","BROME",47,,1
44,"033fc5e977578b52284a821c8c498fb5459ab6cb",9,,"F.","BROOKE",47,,1
45,"3319b7851316fe5a27a4ecd30a1a894d844c40e1",9,,"","BRUCKMANN",47,,1
46,"f3e0c9c14bf3d6270469bb08c9a0d8fc10643280",12,,"Robert","BULL",47,,1
47,"2ef888f3804320ee801a4a196a3ab9f140412b8d",12,,"","BULLY",51,,1
48,"df9ffbddeef2d3194f3d0dd0e7dcf358d3d2f9b0",12,,"","BUNNIK",52,,1
49,"9accd9d2de05d6d26c7f662f48b1e9c8856e876f",9,,"","BURTON",47,,1
50,"232e8894950952d50a732c514d3c21a58b633dcb",12,,"","BUSGEN",52,,1
51,"7415855508fcf1afa9649c345c5e49a8b04d870a",6,,"G.M.","BUSMAN",47,,1
52,"c6bf49ba21a13120cfbb31235c195f1d1dd98d3f",6,20,"","BYLANDT",52,,1
53,"974d4374614f92319e12472c0c866065d3b1f981",12,,"A.G.","BYLEVELD",52,,1
54,"d2d3e8a9682861bb22822acd50d83084bff1e362",6,18,"John","BYNG",47,,1
55,"20910caf2d0f340e2937b270914833769f04bede",5,19,"","Bachelu",48,,1
56,"e3182fd7c7057ad1003535bb7b26a655d0f56ce0",7,,"","Baillon",48,,1
57,"5f65177cd4cc9d48796874a7dc379a23cc38fc18",5,20,"","Bailly, comte de Monthion",48,,1
58,"2431b87a2ae0c48866460ad0ec6082c7cc45d5d3",8,19,"","Baltus",48,,1
59,"25de6808843975ef7dfa50b7eae0333d987d447a",7,,"","Baraillon",48,,1
60,"d6aec267a349cfaf447b9eb5db4011bb0f774517",7,,"","Barbarin",48,,1
61,"73598397598382755ca570fc9a96f2a1ca5bd2c0",12,,"","Barbaux",48,,1
62,"584a1d87869dea0b5aebb5d6914914167c8ca9c1",6,18,"Edward","Barnes",47,,1
63,"7f543a2bc7120f4181cc1ba5fa1c38c935d1daf3",5,20,"","Barrois",48,,1
64,"c82b8d8dcecfb6437f56596199e523772f745cfe",8,,"Baudouin","Baudouin",48,,1
65,"1996a99399f609408f529381d5bdf71232425d2a",7,,"","Baume",48,,1
66,"7426a72f0703de57555489374a23c6c5e14eb5ff",7,19,"","Beaudinot",48,,1
67,"67fbae8857eca803833548393bcc98d3682666cf",7,,"","Bernard",48,,1
68,"caba354ce8660a17c0253f0b57f7dfa92fe8d2ea",7,,"","Bernard",48,,1
69,"5400cc34daec7b9ed862f22bb3c3be531104d882",12,,"","Bernard",48,,1
70,"bcf64597671c2fa4e599ab7b3d3563610f8f1ccf",8,,"","Berruyer",48,,1
71,"d069c6536ebed39ddb0c60a171bc14d9a0e2522f",5,19,"","Berthezène",48,,1
72,"cc054d7b1ebc415e8224c7a720f73834218c6f69",8,,"","Berton",48,,1
73,"6233e2aa40ae309b46dc5b01858890964c3a8ea0",5,20,"H.","Bertrand",48,,1
74,"07f280fcee57402b8745af6c58b2dbee2b8a6d95",7,,"","Beugnat",48,,1
75,"cfbeccddcc2fd92052a9fbb4223f75848aed9af2",7,,"","Bigarne",48,,1
76,"db3f540b97d907d8f56eebe9db702d730f35244c",8,,"","Billard",48,,1
77,"6f1d14461e5d0b496d413b5ba5898b3a997e7fe5",8,19,"","Blancard",48,,1
78,"e43bbb5480314e24b5985af6e12f57c55efc0474",7,19,"","Blot",48,,1
79,"cab9bf1e3349ff993e2d5ff78740c31c208c00e5",15,,"","Bobillier",48,,1
80,"d16200747dde093a186249f1aa6a4c754c862586",7,,"","Boissonnet",48,,1
81,"7f0e26ffc36d4afab0b1f8ce242f552846bd5bfc",5,16,"Jérôme","Bonaparte",48,,1
82,"92a07a7fd44774f3d9aeaa06e31a3e23b36376de",1,17,"Napoléon","Bonaparte",48,,1
83,"559f8d7face708a0ca2a66b7483b8fe0c98090d6",7,,"","Bonne",48,,1
84,"9568b1b57be00effdeea4730f1e21f3214791253",8,19,"","Bonnemains",48,,1
85,"6ee90b49ff60082a24070a7965515d32b877553f",15,,"","Bonnet",48,,1
86,"1c63c33d6cd33d0f414c0237bcf41fe47143bf8d",8,,"","Bony",48,,1
87,"e5291e84d8f8cd7c1728b271130577385cacedaf",8,20,"","Boudin de Tromelin",48,,1
88,"e6fc2a5cd7c40e0c214b380756d2974d006b38a7",7,19,"","Bouge",48,,1
89,"3b176cc10d6a90d68e76dd79e85e468a750c4f77",12,,"","Boulangé",48,,1
90,"8a696a99e03b74711843044f3a3c68b4d3f19830",15,,"","Boumard",48,,1
91,"2358a048e209f6d1d7310eb1400f1a88cec7aead",7,19,"","Bouquerot des Essarts",48,,1
92,"ce00a2d02cf8484aab7b908cc189bc42914b02ca",12,,"","Bourgeois",48,,1
93,"4ad41557fc46adec8ac8ab282d885fd3a89edc8b",12,,"","Bourgeois",48,,1
94,"6ec0b8e332223427f96fc34ecfb72f3a090156fd",8,19,"","Bourgeois",48,,1
95,"20a1775f1c0bb16852c73a25ca232c8f9a4977bf",5,20,"","Bourmont",48,,1
96,"85e9210dbbb40ce537a5de05a94602ca8f56271b",7,,"","Braun",48,,1
97,"3d79d334747c3211ed2106da2f886e219c35bd6a",7,,"","Brice",48,,1
98,"679af04e66f36dd64fb22dde4eb95a579e4c1ec1",12,,"","Brignon",48,,1
99,"192767de9e61f0440750492f4073ee9f848649d7",7,20,"","Briqueville",48,,1
100,"aea8c50335284ba30e65e9d6fa566d43a2d72620",7,,"","Bro",48,,1
101,"a1d3c45a3b41f77f5dcc9b6dd61de34e5f34356d",8,,"","Brue",48,,1
102,"808cfeb4a7faede3ece1ca1efc1f381d83c34a9f",8,19,"","Bruno",48,,1
103,"88248f742d0215f8894197a7f8bf30991438a272",7,,"","Bureaux de Puzy",48,,1
104,"3ba7a10bdeb47239a01b59bcd3637148daccf161",8,19,"","Burthe",48,,1
105,"fd540eb340480efef13e761a8c6bf9f5fd73db10",5,20,"","BÜLOW von DENNEWITZ",51,,1
106,"762efd0d60cc592a05346939e03efb91af91abd3",9,,"J.","CAMERON",47,,1
107,"71759815f3515067f3bc6a66bf6d5c24259c3c1a",13,,"","CAMIESE",52,,1
108,"4554ec49ecc3fd2d03b11059e020f6ee472421d1",10,,"C.","CAMPBELL",47,,1
109,"9ffecfaef2f11686f09734f2b56833615b738b4a",9,,"J.","CARMICHAEL-SMYTH",49,,1
110,"94834d9945bcd8c9135c77fd788fdc700176bbb2",5,19,"D.H.","CHASSE",52,,1
111,"ef833f5c53c2e0c70ab68a1115e8832b0509d2bc",9,,"A.B.","CLIFTON",47,,1
112,"7812792277dcf26cd906a66edd69c4e563e8dd14",5,18,"Henry","CLINTON",47,,1
113,"b43313fd2bef015ab3f0cdca2264a88a9e8612a5",9,,"L.P.","COENEGRACHT",52,,1
114,"fd15a1a1f21e493ddad877cc94c2dc4829b59bca",9,18,"J.","COLBORNE",47,,1
115,"03b48a9488723ca0abbc51c16db23da90cc5a6f0",5,18,"Lowry","COLE",47,,1
116,"bd6723c2ffea0e9a652c79006e9be9858a6c7ce7",9,,"P.C.","COLTHOFF",52,,1
117,"79dca261f195137e01b72243a9144302c4c6a486",5,18,"Ch.","COLVILLE",47,,1
118,"3467867e55a251eb69257dd99234a1846715c502",12,,"","CONRADI",51,,1
119,"c925c13a7730c35ef7e67f6c9466772a1e948281",6,,"Georges","COOKE",47,,1
120,"06ac551768dfdb25ad01313354b51cb512943a77",10,,"","CRAMM",50,,1
121,"679ec6656401c3895a32647a293dce033929241f",10,,"","CROUPP",49,,1
122,"4ab411a3a4ef595556bd8c7650eec45327685120",8,20,"","Cambronne",48,,1
123,"3334b3cf9d54f8c9c99ebcbe60a54811276bf66d",7,18,"Colin","Campbell",47,,1
124,"b03c1e533601c2796d83f3012b1836718e52ffe3",8,19,"","Campi",48,,1
125,"4fdf4358892b155c14898f0c8f14dc0adbd38df2",7,,"","Canevas",48,,1
126,"4a32cab90067cdf9d3aa2b1d98a43f504640fecb",12,,"","Cantin",48,,1
127,"7e6140b1810bf1ce05ba667eb6fc79f12bef8f68",7,19,"","Carré",48,,1
128,"762d348dc7afbbdead5afdbc30efee4b8b8c7e79",12,,"","Carré",48,,1
129,"a7c9c3dea342d97079f9aa0b3331124decb85312",7,,"","Chaillot",48,,1
130,"f381b140f1846272b057e8cb6b279bb2b9c3972a",7,,"","Chapuzet",48,,1
131,"2d80087ee6b27cc6d675469056949d4bd294139d",7,,"","Charlet",48,,1
132,"7c9fcf9928c75431c801a3f142b219da7678b377",12,,"","Charlet",48,,1
133,"fa89937b1bd6eb9e65557f06eca871141335775b",8,,"","Chartran",48,,1
134,"c4a4855f48790e027ae86353a580214063d39637",7,19,"","Chasseriau",48,,1
135,"0c25f7be53dbdddc06f0de0b12b60a722a021fee",5,19,"","Chastel",48,,1
136,"9242b37e24a9d4d060c5f224825b4fe920b830ad",10,,"","Chaudon",48,,1
137,"be8b8cb84d2d6459d827f8119211c2d52e6e2eab",12,,"","Chauveau",48,,1
138,"8b81e906378a7100c3f53cee05c2102a93f28f2b",10,,"","Chaïm",48,,1
139,"afeac62454c4eb627ba4c85eecb667e07a663aee",12,,"","Cheanne",48,,1
140,"67c8d3b11823d6412acc9fd4ff6fe716299b6ea8",7,,"","Chevalier",48,,1
141,"152677bdc8855baf472374f505c97d152c3f9f82",12,,"","Chiappe",48,,1
142,"bd776e6e8794024c0c0420043673601ef2cf2ac8",12,,"","Choumara",48,,1
143,"46f8b98982b9fcfdb90c7766a716fa58a25b0520",8,19,"","Christiani",48,,1
144,"3d0239580390698853389736573e6f17a34cf473",8,,"","Clary",48,,1
145,"bc937ae49fa4bd7a7d56c050824dd50ee155f869",7,,"","Clouet",48,,1
146,"a23f1ec549935f3ddfacf5c033d25f3b3e85b804",12,,"","Coignet",48,,1
147,"016a4978097c2c333f5f95d88bfc999c5138c885",12,,"","Colle",48,,1
148,"c2eef0d0b8621a99a08091b7705fa16ca65da546",15,,"","Condamy",48,,1
149,"de70bb4dc265f5e21f56e48f90196a27e2918506",7,,"","Constantin",48,,1
150,"064c2427d3db8ba17a8aa9be10061bca2e7891fc",7,23,"","Cornebize",48,,1
151,"4bb506c6f0021e53b568da97ab0a52081ecabb62",8,19,"","Corsin",48,,1
152,"319a1a0ed5dc82c8a91fbcdfc95b19062d33d38d",12,,"","Cosgueterre",48,,1
153,"0da9be8b7d304124412b5cff4cf25b797e21a734",12,,"","Cossière",48,,1
154,"5ad183caba1c9e8d880e5c57257439cc859ff71e",12,,"","Cotelle",48,,1
155,"7812df80332464551245b4126b27cb22151ad1f9",7,,"","Courthier",48,,1
156,"e676379f59e368b5c6fc05fbf91a4bc589fb7813",7,,"","Crabbe",48,,1
157,"5563f190074c02e521ea35b013c6452eb05ca7f1",7,,"","Curnier",48,,1
158,"f234b34b40285193ca0707a4795a0adbb036bc70",9,,"L.C.","DALRYMPLE",47,,1
159,"6610509c7c2056cdab2a4e664dcc07955e9892ff",10,,"","DECKEN",49,,1
160,"91db7b057eda3d9e1bc698c466a73700e5e1fae6",13,,"","DELLEN",51,,1
161,"5484d9312646d7f58e7166ece7f18ba03951b745",7,,"H.G.","DETMERS",52,,1
162,"5d3658b8346c7c98041663e16c8b26eb5aae836c",9,,"N.","DOUGLAS",47,,1
163,"89e5e6eec7ba86976702faa66074ec61f28bee20",9,18,"W.","DOUGLAS",47,,1
164,"0162cec81dc2aff00b1778b543d299423f3c500d",10,,"P.","DRUMOND",47,,1
165,"f0518ef99ecda8c0a1952a99adac5a5d76ed0db7",9,19,"F.L.","DUVIVIER",52,,1
166,"65dd25de6e5c639122b4b7a966a0a14f5e7deba2",12,,"","Daigremont",48,,1
167,"7a4667da35cf31aaff958922e75960f543303e55",7,,"","Danlion",48,,1
168,"c5385659a7f80a7b7c8cd32158027b9c91e1843d",7,23,"","Darsonval",48,,1
169,"d3aa47610fee30f68fdbb9ede25ee10299530247",7,,"","Daulé",48,,1
170,"d8eacf6aaf5c8ae41ef47fcb3bb9d1c5ac12c64e",12,,"","Daux",48,,1
171,"fba2c70d561c84363d4783bd20cdfee83a605864",7,,"","Delahaye",48,,1
172,"4b704a0b0c7cc4fa377d26865dc84707d8bc38a7",8,19,"","Delcambre",48,,1
173,"fd9cef24b72eeb5a488da3585f8bf9a343a052a8",5,19,"","Delort",48,,1
174,"ff4e2bdd084b8cf507db2ce3adf1b05a7d8dafab",,,"","Demon-Frère",48,,1
175,"7a2033aefe1907c795bc56aaf45ea304b2aa0197",8,19,"","Dentzel",48,,1
176,"45ef3a2dcd3abc984e45741d3090b3fa9dfb6d64",12,,"","Deshaulles",48,,1
177,"ba5c30e5125c2041a9a6e0dbb01cff2ac0f3e86f",7,19,"","Desmichels",48,,1
178,"4f3ca02c4d93561bdb1ee71a04cd676bb3dba088",8,,"","Desprez",48,,1
179,"dab2100834dd33016b82fb4719449287618b9cea",5,19,"","Desvaux de St-Maurice",48,,1
180,"a6eedaf49474708970b58917fcb4ad4359944961",7,,"","Devienne",48,,1
181,"ba48f42ef000e952e8abef576350e704f1c09b8e",12,,"","Didier",48,,1
182,"c532587ce4cc04956a8c37a959aeeb6f4deb2148",8,19,"","Dommanget",48,,1
183,"36bc16821d9adc52067e437d5080bbc7b8f9967d",5,19,"","Domon",48,,1
184,"1a0f9e77f388eac34b34e83862714fc57b8a9c21",8,19,"","Donop",48,,1
185,"871b479117f141743901d3ddc7b9a637fe41372c",5,19,"","Donzelot",48,,1
186,"8295b76c0618784f9b0ed948386c6d68b85626b5",8,19,"","Doquereau",48,,1
187,"6c889e914bd16ad4385105a7bbf3b7d7f52ee58c",5,20,"J-B","Drouet d'Erlon",48,,1
188,"bf66a4cd591ce777a88e75642e8e5604335f2077",5,20,"A.","Drouot",48,,1
189,"147b908c60451621ddfaf68b50b82c1986e3ddbf",12,,"","Drulin",48,,1
190,"0de2567c8c38cf321998f8eb9171ee9fbbbe1011",7,,"","Druot",48,,1
191,"5a3fe375a388e8b206fbe0405badec0f9eb9dacf",7,,"","Dubalen",48,,1
192,"fff3041bbf2413d5d648ad0775601e5f548e91d9",8,,"","Dubois de Thinville",48,,1
193,"27a8b1e12d96e7b3a8a1513c76b0b3a2d6a09d56",7,,"","Dubuard-Maurin",48,,1
194,"a3c4341612ac59b0577ed35340c9b1c6d4356931",7,,"","Duchand",48,,1
195,"38aa921e9a1cd0288a850be4f156d864838983ad",8,19,"","Dufour",48,,1
196,"a3ea8d9b231dc7a5f53e18cab3ad4cac2440cdd8",5,20,"","Duhesme",48,,1
197,"fde396736972498881f4b167e7efd96d33a6ae6f",6,22,"Frederic-Guillaume ","Duke of Brunswick",50,,1
198,"857f2c3f10f4283a18fcb775657cf155f9d2bbc1",12,,"","Dumont",48,,1
199,"5e99a0702aec3664cdcb6a9a315d776598540d7c",8,,"","Dupeyroux",48,,1
200,"b58b7238b7a3b8b8d0ccad6793f84b8e630ced53",13,,"","Dupont",48,,1
201,"1386753c716dddc7d9a4da172dd87db4075b8bd4",7,,"","Dupré",48,,1
202,"62a0ba0288e2f59222668fa66c6b3322a9ae860a",8,19,"","Durrieu",48,,1
203,"3261bda4f3e8a4bce54db4af385fd695d45b6ba2",5,20,"","Durutte",48,,1
204,"8af78c816534adbc3e3feded7d31390b03d192e7",12,,"","Duvernay",48,,1
205,"34acda2456c18be990f24eb0aacd180be5c92717",7,,"","Duzaire",48,,1
206,"5861192de683d4c7ff0dea5af7cf06879ba0874e",12,,"","Dyonnet",48,,1
207,"925aab40aec3593e3539f60c29a766b8dae536f3",10,,"","EBELING",50,,1
208,"57e87dd14e77c8cadd8ff0f303c61e6b3f83738b",9,18,"H.W.","ELLIS",47,,1
209,"a8a67dbc26803d9751a9b687d6e13948a9dcff31",9,,"W.K.","ELPHINSTONE",47,,1
210,"7416619e6ff21646cae7c8206b6f2d76d37abdca",12,,"J-B","ESSAU",52,,1
211,"50f4a2835f93d5f67158ccfc1b2c1ea820df7244",12,,"","Emon",48,,1
212,"753e38dbddc4b0b0a1f4bcdf289e1c542d90e207",12,,"","Emon",48,,1
213,"686dac8376623eef1fc75f2f86a7f9d4934d069a",12,,"","Etienne",48,,1
214,"858f9e9727ce97d4259ea139caed55298f4a2644",12,,"","Euzenate",48,,1
215,"bbce15aa24c30be08e4f5d6efebdfdc70fbfd71c",5,20,"R.","Exelmans",48,,1
216,"43b7f34ead3d8f916178c4b6f21b2ffae96b4af0",10,,"S.G.","FERRIOR",47,,1
217,"7d33f9683bf150aca733d5607751c56c33c32319",10,,"","FRICCIUS",51,,1
218,"34a18b0501d9015895b497d3c334852d9a91be9f",12,,"","FRITZE",51,,1
219,"fc8ed8853013844e24dd3d3ce38bee4e8a204a04",9,,"W.","FULLER",47,,1
220,"8bd55be5fedb53d385a1335d8d6f3491222930b7",7,,"","Fantin des Odoards",48,,1
221,"c9dc3618e8bbbacf0794914526dff6839e23a0a7",8,19,"","Farine",48,,1
222,"85bf6dce9efaa573eabc0c075e473b047419fd0a",7,,"","Faullin",48,,1
223,"8196b452f566d9ac09dbacd7712b23987c0e5e1e",12,,"","Fenouillat",48,,1
224,"558f750a3c50d7ecde93dd377f7150192d2042b0",7,,"","Ferousat",48,,1
225,"9f2e3d83ce00a423dcdd4761458a769764cee55f",12,,"","Ferrey",48,,1
226,"37153aafc450fa3cb1b2633d51d4b366e3b6cf61",12,,"","Fivel",48,,1
227,"e0886970d514902499655d8e6cda693f15c1d54b",12,,"","Foliot",48,,1
228,"a885d30052f8c446a5fff6806408f6a9445a92b8",7,,"","Fortier",48,,1
229,"68387b475c8cae2705b2f064c71d672b44b64155",15,,"","Fortin",48,,1
